Time(s),Vin(V),Vout(V)
-2.393500E-004,1.05308e+01,9.05348e+00
-2.393200E-004,1.05308e+01,9.05348e+00
-2.392900E-004,1.09328e+01,9.05348e+00
-2.392600E-004,1.05308e+01,9.05348e+00
-2.392300E-004,1.01287e+01,9.05348e+00
-2.392000E-004,1.05308e+01,9.25448e+00
-2.391700E-004,1.05308e+01,9.05348e+00
-2.391400E-004,1.05308e+01,9.05348e+00
-2.391100E-004,1.09328e+01,9.05348e+00
-2.390800E-004,1.01287e+01,9.25448e+00
-2.390500E-004,1.05308e+01,9.05348e+00
-2.390200E-004,1.05308e+01,9.25448e+00
-2.389900E-004,1.05308e+01,9.05348e+00
-2.389600E-004,1.05308e+01,9.25448e+00
-2.389300E-004,1.05308e+01,9.05348e+00
-2.389000E-004,1.05308e+01,9.05348e+00
-2.388700E-004,1.05308e+01,9.05348e+00
-2.388400E-004,1.05308e+01,9.05348e+00
-2.388100E-004,1.05308e+01,9.05348e+00
-2.387800E-004,1.05308e+01,9.25448e+00
-2.387500E-004,1.09328e+01,9.25448e+00
-2.387200E-004,1.05308e+01,9.25448e+00
-2.386900E-004,1.01287e+01,9.25448e+00
-2.386600E-004,1.05308e+01,9.05348e+00
-2.386300E-004,1.01287e+01,9.05348e+00
-2.386000E-004,1.05308e+01,9.05348e+00
-2.385700E-004,1.09328e+01,9.25448e+00
-2.385400E-004,1.05308e+01,9.05348e+00
-2.385100E-004,1.05308e+01,9.05348e+00
-2.384800E-004,1.05308e+01,9.25448e+00
-2.384500E-004,1.05308e+01,9.05348e+00
-2.384200E-004,1.05308e+01,9.05348e+00
-2.383900E-004,1.05308e+01,9.05348e+00
-2.383600E-004,1.05308e+01,9.05348e+00
-2.383300E-004,1.05308e+01,9.05348e+00
-2.383000E-004,1.05308e+01,9.05348e+00
-2.382700E-004,1.05308e+01,9.25448e+00
-2.382400E-004,1.05308e+01,9.25448e+00
-2.382100E-004,1.05308e+01,9.05348e+00
-2.381800E-004,1.05308e+01,9.05348e+00
-2.381500E-004,1.05308e+01,9.25448e+00
-2.381200E-004,1.05308e+01,9.05348e+00
-2.380900E-004,1.05308e+01,9.25448e+00
-2.380600E-004,1.09328e+01,9.25448e+00
-2.380300E-004,1.05308e+01,9.25448e+00
-2.380000E-004,1.05308e+01,9.05348e+00
-2.379700E-004,1.05308e+01,9.05348e+00
-2.379400E-004,1.01287e+01,9.05348e+00
-2.379100E-004,1.05308e+01,9.25448e+00
-2.378800E-004,1.05308e+01,9.25448e+00
-2.378500E-004,1.05308e+01,9.05348e+00
-2.378200E-004,1.05308e+01,9.05348e+00
-2.377900E-004,1.09328e+01,9.25448e+00
-2.377600E-004,1.05308e+01,9.05348e+00
-2.377300E-004,1.05308e+01,9.05348e+00
-2.377000E-004,1.05308e+01,9.25448e+00
-2.376700E-004,1.05308e+01,9.05348e+00
-2.376400E-004,1.05308e+01,9.25448e+00
-2.376100E-004,1.09328e+01,9.25448e+00
-2.375800E-004,1.05308e+01,9.25448e+00
-2.375500E-004,1.01287e+01,9.25448e+00
-2.375200E-004,1.05308e+01,9.05348e+00
-2.374900E-004,1.05308e+01,9.25448e+00
-2.374600E-004,1.05308e+01,9.25448e+00
-2.374300E-004,1.05308e+01,9.05348e+00
-2.374000E-004,1.05308e+01,9.25448e+00
-2.373700E-004,1.05308e+01,9.25448e+00
-2.373400E-004,1.05308e+01,9.25448e+00
-2.373100E-004,1.09328e+01,9.25448e+00
-2.372800E-004,1.05308e+01,9.25448e+00
-2.372500E-004,1.05308e+01,9.25448e+00
-2.372200E-004,1.09328e+01,9.25448e+00
-2.371900E-004,1.01287e+01,9.05348e+00
-2.371600E-004,1.09328e+01,9.05348e+00
-2.371300E-004,1.05308e+01,9.25448e+00
-2.371000E-004,1.05308e+01,9.05348e+00
-2.370700E-004,1.05308e+01,9.25448e+00
-2.370400E-004,1.05308e+01,9.05348e+00
-2.370100E-004,1.05308e+01,9.05348e+00
-2.369800E-004,1.09328e+01,9.25448e+00
-2.369500E-004,1.05308e+01,9.25448e+00
-2.369200E-004,1.05308e+01,9.05348e+00
-2.368900E-004,1.05308e+01,9.25448e+00
-2.368600E-004,1.05308e+01,9.25448e+00
-2.368300E-004,1.05308e+01,9.25448e+00
-2.368000E-004,1.05308e+01,9.25448e+00
-2.367700E-004,1.05308e+01,9.25448e+00
-2.367400E-004,1.05308e+01,9.05348e+00
-2.367100E-004,1.05308e+01,9.05348e+00
-2.366800E-004,1.05308e+01,9.25448e+00
-2.366500E-004,1.05308e+01,9.05348e+00
-2.366200E-004,1.05308e+01,9.05348e+00
-2.365900E-004,1.05308e+01,9.05348e+00
-2.365600E-004,1.05308e+01,9.05348e+00
-2.365300E-004,1.01287e+01,9.05348e+00
-2.365000E-004,1.09328e+01,9.25448e+00
-2.364700E-004,1.05308e+01,9.25448e+00
-2.364400E-004,1.05308e+01,9.25448e+00
-2.364100E-004,1.09328e+01,9.25448e+00
-2.363800E-004,1.05308e+01,9.25448e+00
-2.363500E-004,1.05308e+01,9.25448e+00
-2.363200E-004,1.05308e+01,9.05348e+00
-2.362900E-004,1.05308e+01,9.25448e+00
-2.362600E-004,1.01287e+01,9.05348e+00
-2.362300E-004,1.09328e+01,9.05348e+00
-2.362000E-004,1.05308e+01,9.05348e+00
-2.361700E-004,1.05308e+01,9.25448e+00
-2.361400E-004,1.05308e+01,9.25448e+00
-2.361100E-004,1.05308e+01,9.05348e+00
-2.360800E-004,1.05308e+01,9.25448e+00
-2.360500E-004,1.05308e+01,9.05348e+00
-2.360200E-004,1.05308e+01,9.05348e+00
-2.359900E-004,1.09328e+01,9.05348e+00
-2.359600E-004,1.05308e+01,9.25448e+00
-2.359300E-004,1.05308e+01,9.25448e+00
-2.359000E-004,1.05308e+01,9.05348e+00
-2.358700E-004,1.09328e+01,9.05348e+00
-2.358400E-004,1.05308e+01,9.05348e+00
-2.358100E-004,1.05308e+01,9.25448e+00
-2.357800E-004,1.09328e+01,9.25448e+00
-2.357500E-004,1.05308e+01,9.25448e+00
-2.357200E-004,1.05308e+01,9.25448e+00
-2.356900E-004,1.05308e+01,9.25448e+00
-2.356600E-004,1.05308e+01,9.25448e+00
-2.356300E-004,1.05308e+01,9.05348e+00
-2.356000E-004,1.05308e+01,9.25448e+00
-2.355700E-004,1.01287e+01,9.05348e+00
-2.355400E-004,1.05308e+01,9.05348e+00
-2.355100E-004,1.05308e+01,9.05348e+00
-2.354800E-004,1.05308e+01,9.05348e+00
-2.354500E-004,1.05308e+01,9.25448e+00
-2.354200E-004,1.05308e+01,9.05348e+00
-2.353900E-004,1.09328e+01,9.05348e+00
-2.353600E-004,1.05308e+01,9.25448e+00
-2.353300E-004,1.05308e+01,9.25448e+00
-2.353000E-004,1.05308e+01,8.85247e+00
-2.352700E-004,1.09328e+01,9.05348e+00
-2.352400E-004,1.01287e+01,9.25448e+00
-2.352100E-004,1.05308e+01,9.25448e+00
-2.351800E-004,1.09328e+01,9.05348e+00
-2.351500E-004,1.05308e+01,9.25448e+00
